Player Name,Team,Region,Win Rate,KDA,Cpm,Gpm,Kill Participation,Most played champ,Main role,Dpm
Mountain,AHQ e-Sports Club,Taiwan,100,5.9,3.6,338.1,70,,Jungle,291.6
westdoor,AHQ e-Sports Club,Taiwan,100,6.37,8.8,418.3,61.5,Ahri,Mid,571.3
GreenTea,AHQ e-Sports Club,Taiwan,100,2.71,1.1,237.2,45.9,"Leona, Nautilus",Support,147.6
AN,AHQ e-Sports Club,Taiwan,100,5.15,8.8,426.6,71.6,Sivir,ADC,636.8
Steak,Flash Wolves,Taiwan,75,4.08,6.1,316.4,62.1,Maokai,Top,286.7
Karsa,Flash Wolves,Taiwan,81.8,4.96,3.5,319,71.5,Gragas,Jungle,300.1
Maple,Flash Wolves,Taiwan,81.8,5.4,8,380.3,62.9,Azir,Mid,589.9
NL,Flash Wolves,Taiwan,83.3,9.14,8.6,408.2,71.4,Sivir,ADC,512.2
SwordArt,Flash Wolves,Taiwan,81.8,7.59,0.8,235,76.5,Alistar,Support,134.9
MapleSnow,Assassin Sniper,Taiwan,22.2,2,6.1,311.6,63,Rumble,Top,435.7
MiHanna,Assassin Sniper,Taiwan,0,1.5,3.1,264.5,47.4,"Rek'sai, Nidalee, Sejuani, Nautilus",Jungle,201.9
Achie,Assassin Sniper,Taiwan,18.2,2.66,7.8,352.6,66.9,Jayce,Mid,560.6
Bebe,Assassin Sniper,Taiwan,18.2,2.85,7.9,352.9,62,Sivir,ADC,441.6
Weiiii,Assassin Sniper,Taiwan,18.2,2.86,0.8,210.9,73.3,Janna,Support,101.7
Lat,Logitech G Sniper,Taiwan,10,2.13,6.8,315.9,55.7,Maokai,Top,371.2
YO,Logitech G Sniper,Taiwan,25,2.53,2.7,275.5,70.8,Gragas,Jungle,210.1
Breaker,Logitech G Sniper,Taiwan,12.5,2,8.1,353.1,63,"Cassiopeia, LeBlanc",Mid,467.8
Breeze,Logitech G Sniper,Taiwan,20,2.92,8.3,370.5,66.7,Sivir,ADC,461.1
Ysera,Logitech G Sniper,Taiwan,10,1.93,0.8,209.3,73,Thresh,Support,132.3
Morning,Taipai Assassins,Taiwan,33.3,3.57,6.3,316.6,56,"Maokai, Shen, Gnar",Top,373.7
REFRA1N,Taipai Assassins,Taiwan,50,4.375,3,291.4,68.9,"Gragas, Rek'sai, Lee Sin",Jungle,253.1
Bebe(2),Taipai Assassins,Taiwan,50,4.45,7.5,340.8,67.5,"Morgana, Azir, Viktor",Mid,540.7
Lupin,Taipai Assassins,Taiwan,33.3,3.76,7.9,369.4,71.1,"Sivir, Corki, Kalista",ADC,582.6
Jay,Taipai Assassins,Taiwan,50,1.1,3.86,231,78.3,"Alistar, Nautilus, Thresh",Support,141.3
BoBo,Machi,Taiwan,28.6,2.54,6.1,315.2,57.9,"Maokai, Rumble, Fizz",Top,378.1
HanJi,Machi,Taiwan,33.3,3,3.1,286.7,67.3,"Gragas, Rek'sai, Nidalee",Jungle,217.1
Apex,Machi,Taiwan,25,2.35,8.1,369.4,73.7,"Azir, Cassiopeia, Varus",Mid,525.3
Dee,Machi,Taiwan,28.6,2.59,7.3,349.6,71,"Urgot, Varus, Corki",ADC,478.4
Dreamer,Machi,Taiwan,28.6,3,1,231.1,77.3,"Nautilus, Alistar, Annie",Support,165.7
LOFS,Midnight Sun eSports,Taiwan,42.9,4.07,7,342.2,69.6,"Maokai, Gnar, Hecarim",Top,378.5
Empty,Midnight Sun eSports,Taiwan,42.9,4.15,3.6,306.3,74.7,"Sejuani, Rek'sai, Gragas",Jungle,293.2
caNdy,Midnight Sun eSports,Taiwan,50,3.73,8,366.3,67,"Viktor, Cassiopeia",Mid,544.4
CorGi,Midnight Sun eSports,Taiwan,33.3,2.84,8.1,385.1,72.2,"Sivir, Lucian, Jinx",ADC,545.2
Chunx,Midnight Sun eSports,Taiwan,42.9,2.75,0.8,223.8,73.4,"Thresh, Annie, Nautilus",Support,160.4
